"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-01",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-02",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-03",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-04",,,,,"1.04",,"2.4","1.3",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-05",,,,,"0.14",,,,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-06",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-07",,,,,"0.02",,"0.2","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-08",,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-09",,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-10",,,,,"0.06",,"0.6","0.5",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-11",,,,,"0.00",,"0.0","1.0",,,,,,,,,"0.1",,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-12",,,,,"0.02",,"0.2","1.0",,,,,,,,,,"0.0",,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-13",,,,,"0.10",,,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-14",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-15",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-16",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-17",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-18",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-19",,,,,"0.93",,,,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-20",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-21",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-22",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-23",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-24",,,,,"0.18",,"2.1",,,,,,,,,,,"0.2",,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-25",,,,,"0.51",,"4.2","6.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-27",,,,,"1.04",,"16.0","22.0",,,,,,,,,,"1.0",,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-28",,,,,,,"4.5","26.5",,,,,,,,,"2.1",,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-30",,,,,"0.03",,"0.2","20.5",,,,,,,,,,"0.0",,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-01-31",,,,,"0.04",,"0.7",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-01",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-02",,,,,"0.30",,"3.3","19.0",,,,,,,,,,"0.3",,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-03",,,,,"0.60",,"7.9","25.0",,,,,,,,,,"0.8",,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-04",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-05",,,,,"0.07",,"0.6","21.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-06",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-07",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-08",,,,,"0.28",,"3.3","23.5",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-09",,,,,"0.34",,"3.7","26.0",,,,,,,,,"4.7",,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-10",,,,,"0.28",,"2.6","29.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-11",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-12",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-13",,,,,"0.02",,"0.5",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-14",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-15",,,,,"0.51",,"9.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-16",,,,,"0.04",,"1.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-21",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-22",,,,,"0.25",,"2.5","27.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-23",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-24",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-25",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-26",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-27",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-02-28",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-01",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-02",,,,,"0.16",,"1.9","25.0",,,,,,,,,"5.4",,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-03",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-04",,,,,"0.42",,"1.8",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-05",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-06",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-07",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-08",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-09",,,,,"0.00",,"0.0",,,,,,,,,,"5.2",,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-10",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-11",,,,,"0.02",,,"17.5",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-12",,,,,"0.00",,,"14.5",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-13",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-14",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-15",,,,,"0.62",,,"14.0",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-16",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-17",,,,,"0.06",,,"11.5",,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-18",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-19",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","2015-03-20",,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
