"Cutoff","Kappa","Set","Iteration","Quantile.97","PCancel","QuantilePCancel"
0.95,0,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.95,0,"Train",1,0.0767570199088173,0.031798524548461,0.0767570199088173
0.94,0.0268198541369579,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.94,0,"Train",1,0.0767570199088173,0.031798524548461,0.0767570199088173
0.93,0.0268198541369579,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.93,0,"Train",1,0.0767570199088173,0.031798524548461,0.0767570199088173
0.92,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.92,0,"Train",1,0.0767570199088173,0.031798524548461,0.0767570199088173
0.91,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.91,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.9,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.9,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.89,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.89,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.88,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.88,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.87,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.87,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.86,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.86,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.85,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.85,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.84,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.84,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.83,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.83,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.82,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.82,0.0784042120175733,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.81,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.81,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.8,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.8,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.79,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.79,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.78,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.78,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.77,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.77,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.76,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.76,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.75,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.75,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.74,0.0519842051961342,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.74,0.14132901403211,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
