"Cutoff","Fraction","Kappa","Set","Iteration","Quantile.97","PCancel","QuantilePCancel"
0.95,0.001,0,"Train",1,0.19,0.0251572327044025,0.192
0.95,0.001,0.0687057135282898,"Test",1,0.254,0.0299852289512555,0.254
0.94,0.001,0,"Train",1,0.19,0.0251572327044025,0.192
0.94,0.001,0.0687057135282898,"Test",1,0.254,0.0299852289512555,0.254
0.93,0.001,0,"Train",1,0.19,0.0251572327044025,0.192
0.93,0.001,0.0687057135282898,"Test",1,0.254,0.0299852289512555,0.254
0.92,0.001,0,"Train",1,0.19,0.0251572327044025,0.192
0.92,0.001,0.0687057135282898,"Test",1,0.254,0.0299852289512555,0.254
0.91,0.001,0,"Train",1,0.19,0.0251572327044025,0.192
0.91,0.001,0.0687057135282898,"Test",1,0.254,0.0299852289512555,0.254
0.9,0.001,0,"Train",1,0.19,0.0251572327044025,0.192
0.9,0.001,0.0857087602141717,"Test",1,0.254,0.0299852289512555,0.254
0.89,0.001,0,"Train",1,0.19,0.0251572327044025,0.192
0.89,0.001,0.0857087602141717,"Test",1,0.254,0.0299852289512555,0.254
0.88,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.88,0.001,0.0857087602141717,"Test",1,0.254,0.0299852289512555,0.254
0.87,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.87,0.001,0.0857087602141717,"Test",1,0.254,0.0299852289512555,0.254
0.86,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.86,0.001,0.0857087602141717,"Test",1,0.254,0.0299852289512555,0.254
0.85,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.85,0.001,0.0857087602141717,"Test",1,0.254,0.0299852289512555,0.254
0.84,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.84,0.001,0.0857087602141717,"Test",1,0.254,0.0299852289512555,0.254
0.83,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.83,0.001,0.123840820624532,"Test",1,0.254,0.0299852289512555,0.254
0.82,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.82,0.001,0.123840820624532,"Test",1,0.254,0.0299852289512555,0.254
0.81,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.81,0.001,0.188991505377845,"Test",1,0.254,0.0299852289512555,0.254
0.8,0.001,0.013472185980019,"Train",1,0.19,0.0251572327044025,0.192
0.8,0.001,0.188991505377845,"Test",1,0.254,0.0299852289512555,0.254
0.79,0.001,0.0711858486451952,"Train",1,0.19,0.0251572327044025,0.192
0.79,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.78,0.001,0.0826075456437804,"Train",1,0.19,0.0251572327044025,0.192
0.78,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.77,0.001,0.0826075456437804,"Train",1,0.19,0.0251572327044025,0.192
0.77,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.76,0.001,0.111433519704329,"Train",1,0.19,0.0251572327044025,0.192
0.76,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.75,0.001,0.111433519704329,"Train",1,0.19,0.0251572327044025,0.192
0.75,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.74,0.001,0.111433519704329,"Train",1,0.19,0.0251572327044025,0.192
0.74,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.73,0.001,0.13013154921879,"Train",1,0.19,0.0251572327044025,0.192
0.73,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.72,0.001,0.151223713204847,"Train",1,0.19,0.0251572327044025,0.192
0.72,0.001,0.209261486172504,"Test",1,0.254,0.0299852289512555,0.254
0.71,0.001,0.151223713204847,"Train",1,0.19,0.0251572327044025,0.192
0.71,0.001,0.242944021765859,"Test",1,0.254,0.0299852289512555,0.254
0.7,0.001,0.156077502352588,"Train",1,0.19,0.0251572327044025,0.192
0.7,0.001,0.242944021765859,"Test",1,0.254,0.0299852289512555,0.254
0.69,0.001,0.156077502352588,"Train",1,0.19,0.0251572327044025,0.192
0.69,0.001,0.242944021765859,"Test",1,0.254,0.0299852289512555,0.254
0.68,0.001,0.165299030987347,"Train",1,0.19,0.0251572327044025,0.192
0.68,0.001,0.242944021765859,"Test",1,0.254,0.0299852289512555,0.254
0.67,0.001,0.165299030987347,"Train",1,0.19,0.0251572327044025,0.192
0.67,0.001,0.29912265430948,"Test",1,0.254,0.0299852289512555,0.254
0.66,0.001,0.163675778053124,"Train",1,0.19,0.0251572327044025,0.192
0.66,0.001,0.320323117025594,"Test",1,0.254,0.0299852289512555,0.254
0.65,0.001,0.163675778053124,"Train",1,0.19,0.0251572327044025,0.192
0.65,0.001,0.308187179317578,"Test",1,0.254,0.0299852289512555,0.254
